AAVE,SAE
"say like,",i'd say
three years ago.,maybe three years ago.
[i got a tattoo] to remember i was-,{i got a tatoo} to remember her by.  
i can't put rest in peace cause she's not gone.,"my tatoo reads, 'rest in peace.' so she's never gone."
find something that you would like.,find something that you would like to do.
because a trend's easy to set,because a trend is easy to establish
your life is not a easy step.,your life is not as easy to navigate.
and they come down here and they're pissed off,and they come here and they are pissed off
"yeah, we'd come down. we'd come down here","yeah, we would come down. we would come down"
"and um, people from the neighborhood was in the bars.","and um, people from the neighborhood were in the bars."
and i would go in there and be like,and i would go in there and say
[oh. i'm seeing] some trees and some nice good things happening. ,oh. i noticed trees and nice good things happening.
"now, we seeing a patch of grass","now, we are seeing a patch of grass"
"i was just bike riding over there on the waterfront. i'm like, it is fucking bike lanes and shit like that.","i was bike riding over there on the waterfront. i said, it is fucking bike lanes and shit like that."
"and i'm thinking, you know why i resent this shit? cause it should have been here ten years ago.","and i'm thinking, you know why i resent this shit? because it should have been here ten years ago."
and there's new people coming in.,nd there are new people coming in
and they're not even from the neighborhood.,and they are not from the neighborhood
"and that's what i was feeling, like this money that i've invested in this community for ye- i'm twenty-nine years old.","and that's how i was feeling, like this money that i have invested in this community for ye- i'm twenty-nine years old."
they did community clean ups.,they held community clean ups.
yeah.,it was us when the city would not do it.
and now i can't even go to no bar here.,"now, i cannot even go to a bar here."
then i was looking for waitressing. this is when it was really hitting me. i'm [looking for] waitressing jobs in the middle.,then i was looking for waitressing jobs. this is when it really hit me. i'm looking for waitressing jobs in the middle.
"i thought this was a benefit man, i'm like yo, this is a benefit.",i though this was a benefit but i saw it was a really nice benefit
kay. i'm [i know how to look for a job. trust me.],o. i'm i know how to look for a job. trust me.
<ts> all i did was leave resumes in every places and stuff like [that.],all i did was leave resumes in every place.
and he's like,and he said
"he's like, oh yeah. okay.","he said, oh yeah. okay."
nah. just leave your resume.,"no, just leave your resume"
i got my k- i got my way back with them,i got my k- i got back at them.
"man. i called, make so many complaints. and m- i don't know how [many fines] they got.",man. i called to make so many complaints. and m- i do not know how many fines they received.
it's- happens. all you gotta- people [don't even know.],it happens. all you have to- people do not know.
it's so [easy. it's so easy.] and i got- they got at least,it's so easy. it's so easy. i got - they had at least
cause i never [kept track.],because i never kept track.
"but, i'm like wow. all these people that work in the n-","but i said, wow. all of these people that work in the n-"
"in these stores, they're not even from the neighborhood.","in these stores, they are not from the neighborhood."
"he was like, um","he said, um"
"<ts> i'm flexible, i'm saying all things they wanna hear.","i'm flexible, i'm saying all of the things they want to hear."
"i'm like, i'm right here, so","i said, i'm right here, so"
and he was hooking up his friends.,and he was helping his friends.
you know what i'm saying?,do you understand?
[i] look on the internet. there's flashy beautiful colors.,i look on the internet. there are flashy beautiful colors.
"to go and have fun, and party at.","to go and have fun, and party"
it was crack vials,there were crack vials
"people that come from outside, they [be like.]","people that come from the outside, they say."
"cause our mothers would whoop our asses if we cut out, did some blood sister shit",because our mothers would spank us if we cut our hands to be blood sisters
you grew up with that have lived here for a while. like what about the new folks that are moving in? are they,you grew up with that have lived here for a while. what about the new folks that are moving in? are they
i wasn't- i used to work at goldman sachs. this big time,i was not- i used to work at goldman sachs. this established
[<laugh>] you're like it's [okay.],"you said, it's okay."
"and then i saw, i remember this white couple coming in the neighborhood.","and then i saw, i remember a white couple moving into the neighborhood."
"they were a undercover cop,","they were an undercover cop,"
"and, i'm not scared of none of y'all.",i am unafraid of these individuals
"i'm telling them to- li- they should go to my projects, and i'm like, you know what,","i'm telling them to- li- they should go to my projects, and i said, you know what,"
[i've] always liked that. my [mothers] raised us like that.,i have always liked that. my mother raised us like that.
"i'm'a fuck them up. they made me /this-/ you know, i was so [angry.]","i am going to be harsh with them. they made me this- you know, i was so angry."
"i'm like yeah, fuck that.",i am not giving much credence to this
"she go, oh. why don't you tell /rd-name-2/ all of that?","she said, oh. why don't you tell /rd-name-2/ that?"
i'm'a p- i'm'a call her right now.,i am a p- i am going to call her right now.
"and i- i was like, tell /rd-name-2/?","and i- i said, tell /rd-name-2/?"
"and then, it li- it slowly dawned on me. and i was like, no. i remember, begging my mother and crying, like please don't call [her.]","and then, it li- it slowly dawned on me. and i said, no. i remember, begging my mother and crying, saying, please"
"and you real right? go tell everything you told me, tell her.","and you are genuine, right? go tell her everything you told me."
"cause then i was like, wow. you know what? then","because then i said, wow. you know what? then"
"[because what i] feel like, if you aks me, it's like a distain type of","because what i feel, if you ask me, is like a disdain type of"
coming in the hood.,coming in the area
yeah. you could just stand in the middle of the sidewalk. nobody fucking lives here. nobody gotta walk through.,yeah. you could just stand in the middle of the sidewalk. nobody fucking lives here. nobody has to walk through.
don't fucking ask me shit if you scared.,please do not speak to me if you are scared of me.
"i don't know what she was doing over here, whatever, in m- in the projects over there. but [she was over] there.","i don't know what she was doing overe here, whatever, in m- in the projects, but she was here."
"but the whole thing was, like she got a little nervous when we was walking out. like, i feel like she got a little nervous cause she looked and then","but the thing was, she got a little nervous when we were walking out. i feel like she because a little nervous"
fuck that bitch.,i am paying that person no attention
i bumped into this guy.,i ran into someone i know
fucking watch where you going.,pay attention to your surroundings
and i'm looking at this white mother fucker,this white individual caught my attention
your ass is ballsy.,this person is bold
"curled your lip up, talk to me that way.","curled your lip up, talking to me in that way"
"everybody don't get carded. then i come in, and i get carded, and it's [like]","everybody does not get carded. then i come in, and i get carded, and it is like"
"and this white woman. she comes, she sits there, and she's like um.","and this white woman. she comes, she sits there, and she says, um."
she comes in and she's like um.,"she comes in and she says, um."
"oh, can i sit with y'all? cause it's so noisy in there.","oh, can i sit with you? because it is so noisy in here."
"so, i was like, ah. i'm thinking she's a old school white person they're like",so i was thinking this is a traditional white person
the- the white people that's been here for years. one of the white people that's been here [for years.] and they don't,the- the white people that have been here for years. one of the white people that have been here for years. and they do not.
"they tired of the bar too,",they are tired of the bar too.
"[so i] thought she was one of us. i was like,","so i thought she was one of us. i said,"
"hell yeah. come and sit down man. yeah. we talking, we drinking.","hell yea. come and sit down, man. yeah. we are talking, we are drinking."
you just should work,you should just work
the neighborhood was shit,the area was terrible
this lady's like going on about how my nei- like how she's this benefit to my neighborhood.,this lady is going on about how my nei- how she is this benefit to my neighborhood
"oh, you're like. (laughing)","oh, you said."
"[i said miss,] you looking at what we do. we moving from","i said miss, you are looking at what we do. we are moving from"
"and now, landlords, wanna make sure things are correct","and now, landlords, want to make sure things are correct"
cause they gonna make more money off of that.,because they are going to make more money off of it.
"[and the] reason why we lived here, was not because of choice. we was forced to. there was no where else to live.","the reason we lived was not a choice, but because we were forced to. there was no where else to live"
know what i'm saying? it wasn't for,do you undertand? it was not for
"i'm like, well, you wasn't there when somebody called five or six times for their landlord to fix their house.","i said, well, you were not there when somebody called five or six times for their landlords to fix their house."
that's why these buil- that's how these buildings got decrepit ,that is why these buil- that is how these building became decrepit
[you weren't] here when the sanitation wasn't picking things up regularly. this is the whole city.,you were not here when the sanitation were not picking things up regularly. this is the whole city.
you wasn't here when- for that.,you were not here when- for that.
"[so,] you can't sit here and say that people didn't care about where they lived at, cause my mother did.",so you cannot have the temerity to say people did not care about where they lived. my mother did.
my mother cared about where we lived at.,move mother cared about where we lived
and i'm like man.,"and i said, man."
"y'all still disruptive, y'all still don't give back to the community.","you are still disruptive, you still do not give back to the community."
"they're like yeah, lining up and- and causing ruckus in our- in our [neighborhood. please.]",they agree and are lining up and- and causing a ruckus in our- in our neighborhood. please.
"that's what it was. i even [heard this one] time i was getting my taxes done and this guy,","that is how it was. i even heard this when i was getting my taxes and this guy,"
and he was like,and he said
to come to respond before they would get out the car do anything.,to come and respond before they would get out of the car to do anything.
and how none of them ever wanted to get there. of course.,none of them ever wanted to get there. of course.
cause no cops came.,because no cops came.
o- there's no cell phones at the time.,o- there were no cell phones at the time.
[people] were out their windows,people were out of their windows
like i saw every window with a phone.,i saw every window with a phone.
those are the longest forty-five minutes i've ever seen.,those were the longest forty-five minutes i have ever seen.
y- people used to come back fucked up from cops.,y- people used to com back fucked up by cops.
this was it.,that was it.
this was us. [this was it.],that was us. that was it.
i'm down for that,i support that
chartering all the schools up,making all of the schools charters
"and i was like, you know what miss,","and i said, you know what miss,"
"i remember me telling her, like tryna hold back my tears, cause i'm very sensitive.","i remember telling her, trying to hold back my tears, because i am very sensitive."
"about- and it's always about my neighborhood. [and they] think it's about a guy, they be like","about- and it is always about my neighborhood. people think ti is about a guy, they say"
"man, we getting displaced!",we are getting displaced!
it was minority only. been there forever.,it was for minorities only. it has been there forever..
we don't know what's gonna come of that.,we do not know what is going to come of that.
i don't know what's gonna be built there.,i do not know what is going to be built there.
"one of the things is if you are under-employed, or unemployed,","one thing is if you are under-employed, or unemployed,"
"people that live in public housing. they ain't shit. even subsidies, right? you have [those] stigmatizations for that.","people that live in public houseing, they are not good. even subsidies, right? you have stigmatizations for that"
"subsidies. oh. people are lazy. they're bums. and there's violence, and there's drugs and they living off the government. they taking my tax dollars, and all of these [things.]","subsidies. oh. people are lazy. they are bums, and there is violence, drugs, and they are living off the"
"and so, here we got a federal lawyer, says, oh.","so, here we have a federal lawyer that says, oh"
and i just came out of college.,and i just got out of college.
and i got six months to find a job.,and i have six months to find a job
you sh- sounds like you sure tried [though. <laugh>],you sh- sounds like you tried.
this flyer telling people to do the community service.,this flyer is telling people to do the community service.
word. they're telling people to do this slave shit?,seriously. they are attempting to have people work with no remuneration
i brought six homegirls. my homegirls that i grew up.,i brought six close girlfriends. my close girlfriends that i grew up with.
i ain't seen them in years.,i have not seen them in years
"i just- i got, said, listen, yo. y'all heard about this community service shit?",i asked if they were aware of the community service
"[right, so,] we came in there hooded.",we came in hooded.
"and i'm like, yeah. let me sign y'all little sign in sheet. let me hear what y'all gotta say about this bullshit","and i said, yeah. let me sign your little sign in sheet. let me hear what you have to say about this bullshit."
cause it's a federal law and you can get evicted.,because it is a federal law and you can get eviced.
and here's the ways that you can do it.,and there are ways that you can do it.
it found me the work.,it found me work.
that community service requirement shit was fucked up.,the commnunity service requirement is obtrusive
and i'm like damn. i just came out of school.,i was uncomfortable because i had just completed school
to- they're like some cons- they have these conservative views. i'm like you,my brother have questionable political bearing and are conservative
you a black man. what are you fucking [f-],you are a black man. what are you fucking f-
"you know, like you gotta pull yourself [up at your boot] straps.","you know, pull yourself up by your boot straps."
you know what i'm saying?,do you understand?
"you know, and we never think about those things. like, [you know.]",right? we never thinkg about those things. understand?
"so, you gonna make- okay. if everybody's pulling they own selves up by their bootstraps, does that mean they're gonna start making their own boots?","so, you are going to make- okay. if everybody is pulling themselves up by their bootstraps, does that mean the are going to start making their own boots?"
that's what that mean? you gonna make them shine their own boots?,is that what that means? are you going to make them shine their own boots?
"you know, i don't get- you know what i'm saying. i [just]","you know, i don't get- you understand?"
[you know?,do you understand?
"and i'm seeing like, damn. i gotta do community service, and this gentrification,","and i'm seeing, damn. i have to do community service, and this gentrification,"
"i wanna be up- i- i- i wanna fight this. and then [when i found-] when goles gave me the vehicle,","i want to be up- i- - i want to fight this. and then when i found- when goles gave me the vehicle,"
"a part of the solution. not the problem, not the complainer.",a prat of the solution. not the problem or the complainer.
and i used to do things off the strength of-,and i used to do things from the the strength of-
"there was a crowd. it was all crazy in the front, and i was like, listen.","there was a crowd. it was all crazy in the front, and i said, listn."
and we don't like this shit.,we do like being placed in this situation
"and, actually, the guy's like, nah man.","and, actually the person says no"
i feel y'all. i'm from the neighborhood too. he was a guy from the neighborhood [too.],"i understand you all, i am from a similar socioeconomic background "
"or, i seen kids get strip searched in front of fucking mad people.","or, i have seen kids get strip searched in front of fucking mad people."
where cops pull down they pants.,where cops pull down their pants.
pulling they pants.,pulling down thier pants
and you got six squad cars.,and you have six squad cars.
they had their guns drawn,they had drawn their guns
[because] we was in the park playing basketball. we had beads of sweat coming down our heads.,we were in the park playing basketball. we had beads of sweat coming down our heads.
"and we was like, yo.","and we said, hey."
"now, they enforcing it. no. the parks gotta be closed.","now, they are enforcing it. no. the parks have to be closed."
"and now, i got a gun pointed at me.","and now, i have a gun ponited at me."
"so, i would ask you to like start at the beginning and tell me about kind of","so, i would like to ask you to start at the beginning and tell me about "
right there on fourteenth street.,on fourteenth street. 
"it's funny, both of my parents, um, not migrated, but yeah, kind of, from harlem.","it's ironic, both of my parents, they did not migrate, but they came from harlem. "
"they were uh, one of those uh",they  were one of those uh 
a lot of the families that were,a lot of the families were 
looking to.,wanted to. 
well- i what i understood it was that both my grandmothers were single mothers and they,"well, hopw i understood it was that both of my grandmothers were single mothers and they "
trying to,were trying to 
there was housing opportunities over here.,there were housing opportunities over here. 
and so a lot of people.,a lot of people. 
that's- i think- i can see like the history of it was like,that's- i think- i know the history of it was like
ma- like further down and spreading out [more.],further down and spreading out. 
because there was a- for housing opportunities and.,because there were housing opportunities. 
"and it's funny, then their children later on","it's ironic, then their children "
get together and have me.,get in a relationship and have me. 
that's hilarious,that's ironic. 
happenstance like lately,on happenstance and later 
"you know, years later on.","you know, years later. "
and they not together now.,and they are not together now. 
"so, what's your like ancestry? are your um, do you have like caribbean roots? or ju- african [american?]","so, what's your ancestry like? are your, um, do you have caribbean roots? or ju-african [american?]"
"[i know, i know, i know.]",[ i understand ]
"and it was really interesting because everybody was really mixed. and you know, there was like",and it was interesting because everybody was really mixed. there was like
"jamaica, then the other grandmother was from you know, atlanta, and [so everybody] had these really interesting histories, so","jamaica, then the other grandmother was from atlanta, and [so everybody] had really interesting histories. "
nope. um.,no. um. 
"to just give it back to me in my- some measly name, like oh, well you know what?","to just give it (culture) back to me in some measly name, like oh, you know what? "
"/up/ in the past, you know, we've-","in the past, you know, we've-"
"[s- it seems] like uh, not enough.",[it seems] like not enough. 
"mm. i'd rather, i'd like to call everybody brown.",mm. i'd rather call everybody brown. 
"hey man, everybody's brown. [everybody's] got some different color","hey, everybody's brown. [everybody's ] got different melanin."
i'd like that way better.,i would like that way better. 
/breries/ too [much.],/varies/ too much. 
"[so, i'm just] saying just for like",that is what i am saying 
"man,","well, "
have family down [there in the south.],i have family down there in the ssouth. 
"[do you go like, visit?]",do you go visit? 
mm-hm. [i just didn't make] the last one that we had.,mm-hm. i was not able to make it to the last reunion we had. 
"every year, we go different","every year, we travel to different "
[<laugh>] did you call? were you [like okay.<laugh>],[<laugh>] did you call? were you [like let me try this<laugh>]
i've never heard it before i [think.],i have never heard my last name before [i think].
"there's, uh, some that had two s's, it was weird. it was very crazy, but,","there's, uh, some that had two s's, which was weird. it was crazy, but, "
"it was cool. and the- it was cool to see that, and then","it was nice. and the-it was nice to see that, and then "
people was asking me what island i was- i was from.,people were asking me which island i was from 
[and i'm] like,and i think it's 
a really crazy small [island],a really small island 
"[you're like,] well, [it's an island.]","[you think,] [it's an island.]"
"it's far, and it's [crazy.]","it's far, and it's [interesting.]"
it's crazy.,it's interesting. 
cool.,nice. 
"it was four of us, and my father kind of left when i was three.","there were four of us, and my father kind of left when i was three. "
and he go ji- addicted to drugs.,and he got addicted to drugs. 
[he's] around the right time.,that's around the right time. 
"me and him, i haven't talked to him, it's funny cause i haven't talked to him for six years.","him and i have not spoken, it is ironic because i have not spokened to him for six years. "
where we're tryna,where we are trying to 
[that's cool.],[that's nice.]
"yeah, /rd-name-3/ has us in this.","yeah, /rd-name-3/ supports us in this."
uh. [wha- you-],uh. [what are you-]
we're learning how to use that though,we're learning how to use that 
[that's cool.],[that's nice.]
and there was way more negative energy used to-,and i used way more negative energy to-
[than it] was to love him.,[than to] love him. 
so. it's like a less,so. it's like less
i even feel like less energy being,i feel like less energy is being 
"you know, of me and it's- it's directly affecting me, i've ","of me and it's directly affecing me, i've "
i was like not consistent with that.,i was inconsistent with that. 
"like, i was [not consistent] with that in my life, so.",i was so inconsistent with that in my life. 
that's when i start talking with him [again.],that's when i started speaking with him [again.]
[he's still] in the neighborhood.,[he's still] in our neighborhood. 
he's still in the neighborhood to his will.,he's still in the original neighborhood intentionally. 
"and uh, it's funny because the way we found him. i found him in nineteen ninety","and uh, it's ironic because of the way we found him. i found him in nineteen ninety"
"my senior year in high school,","it's my senior year in high school, "
"and i'm worried about my cat. i got midterms and everything, and my cat is missing, and i'm going crazy.","and i'm worried about my cat. i have midterms and everything else happening, and my cat is missing, and i'm going crazy. "
"yeah, he would go out to the windows and","yes, he would go out of the windows and "
"he would do some crazy stuff, and sometimes go all throughout the building, but he would come back.","he did stuff that was out of the ordinary, and would sometimes walk throughout the building, but would return. "
"back at the door, like he always came back.","return to the door, he always came back. "
"but somebody, uh, one of the dagone maintenance men took him.","but somebody, one of the dumb maintenance men led him. "
yeah. he took him.,yeah. he led him. 
maintenance man took him and put him in the basement.,the maintenance man led him and put him in the basement.
"[they took my] cat, and put him down there for rats. [my cat.]","[they took my] cat, and put him down there to catch rats. [my cat.]"
[come on.],really? 
"when we were in the court, when i was- my sister and i were door knocking.","when we were in the court, when i was- my sister and i were knocking door to door."
[i'm like],[i thought]
[he] just answered the door?,[did he] just answer the door? 
it's like one of them houses where all the people,it's a house where all of the people 
do their drugs at and everything. [like a little] crack spot.,do their drugs. [like a] drug den. 
"[and-] but we didn't know that. anyway, we was knocking on the door.","[and-] but we didn't know that. anyway, we were knocking on the door."
we was like,"we said,"
[you were like] holy [shit. <laugh>],[you felt like] holy [shit. <laugh>]
and we just stood there still.,and we just stood there. 
"and it was like, oh, you live right across the street?","and we realized,  oh, you live right across the street?"
[oh. /rd-address-2] okay. i knew you- you- d- okay. i think /rd-name-8/ [from like- yeah.] i was like /rd-name-2/'s from /rd-address-3/. right.],[oh. /rd-address-2] okay. i knew you- you- d- okay. i think /rd-name-8/ [is from like- yeah.] i was like /rd-name-2/ is from /rd-address-3/. right.]
[it was from /rd-address-2/.],[i'm from /rd-address-2/.]
he- my father's not doing anything with himself right now.,he-my father is not currently doing anything to better himself. 
"yup, you know, i got him to help them.",i was able to convince him to help them. 
that's [cool.],that's [nice.]
"[well,] he could not volunteer. he got money. he got money to [do it. but.]",he did not volunteer. he received money. he was paid to [do it. but.]
[you know.],yes. 
"<ts> i got him involved, he got to see a little of what i do.","<ts> i got him involved, he was able to see what i do."
very cool.,very nice. 
[she's her-] close to hitting that thirty year mark point.,[she's her-] close to the thirty year mark. 
she's been helping with parents at a head start program.,she has been helping with the parents at a head start program. 
"[oh, that's cool.]","[oh, that's nice.]"
"so, she's still here and she works in the neighborhood.",she is still here and works in the neighborhood. 
"and i'm here, and i work in the [neighborhood.]",i am here and work in the neighborhood as well. 
"and i used to live with my sister, but she just moved out.","i used to live with my sister, but she moved out. "
it's probably kind of cool right?,does it feel nice? 
yeah. it's cool.,yeah. it feels nice. 
"[cause, you know.]",[because.]
"[like,] when you leave in the morning, and then you come back, and like","[like,] when you leave in the morning, and then you come back, and "
back where you left it.,where you left it. 
"now i can't blame things on my sister, [like oh.]","now i can't blame things on my sister, [for example]"
[<laugh> right. (laughing) <laugh> right.],[<laugh> exactly. (laughing) <laugh> exactly.]
[she didn't] throw out the garbage? [it's all me.],throwing out the garbage? [it's on me to do it.]
[you're like-],[you think-]
"you're like, nope.","you think, no, "
[it's all me.],[it is my responsibility.]
"i can't even like, yeah. so.",i can't blame here. 
it's putting me- [it's putting things] into perspective. like ah shit man. i gotta-,it's putting me- [it's putting things] into perspective. like shit. i have to-
"when people come over, i gotta make sure my","when people come to my apartment, i have to make sure my "
 my [stuff is] on point.,stuff is neat and tidy. 
"yeah, that's about it actually.",but that is the only issue. 
it's cool living without.,i like living without 
"i've g- i- you know, it's so funny. it's- this is a memory that's good. it's so funny that you just said this.","i've g- i- you know, it's ironic. it's- this is a memory that's good. it's ironic that you just said this."
that's good and bad in itself.,that's both good and bad. 
"when we were little, we played this game called colors.","when we were little, we played a game called colors."
kay.,okay. 
"before you left a- if we was living toge- if we was friends [and we was] growing up [together,]","before you left a- if we were living toge- if we were friends [and we were] growing up [together,]"
"before we left this house, we had to pick a color.","before we left the house, we had to pick a color."
what's your color? purple?,what color do you want? purple? 
how many crack vials we see with that color [top.],how many crack vials we would see with that color of [top]. 
"[so, we would] get ready to go to this post [office]","[so, we would] get ready to go to the post [office]"
you was letting me know every time you saw,you were letting me know every time you saw 
"and upon the end of the day,","and by the end of the day, "
we always would forget sometimes or whatever.,we would always forget sometimes. 
that's how much drugs was in this neighborhood.,that's how many drugs were in this neighborhood. 
"that was- that was a common thing in grass, so you didn't play in grass.","that was-that was common to see in grass, so you would avoid playing in grass. "
[you kept off grass],[you stayed off of the grass]
cause it's a place where dogs,because it's where dogs 
t- crapped at,pooped at 
"you had drug needles in it,","there was drug needles in it, "
[yeah. yeah. yeah. yeah.] and were there all different [colors?],[yeah. yeah. yeah. yeah.] and were there different colors? 
"so, every w- depending what color you pick, i w- my color was always purple. i gave you purple today.","so, every w-depending on what color you picked, i w-my color was purple. i gave you purple today. "
"but purple, i'd be like purple. and i'd be like, there go purp- there goes five purple!","but purple, i would say purple. and i would say, there's purp-there's five purple! "
"i used to f- i'd have like, i had like this uh","i used to f-i would have, i had a uh "
this- this science to it [like nah man. purple is] the color.,science to it [like no. purple is] the color. 
[but.] so. yeah. it was purple. and i- this was in school yards,[but.] so. yeah. it was purple. and i-this happened in school yards
"and churches. [and any type] of grass over here, there was drug needles [and] crack vials and","and churches. [and any type] of grass present, there were drug needles [and] crack vials and "
[that's the funny],[that's the irony]
"[so, we] played in parks still. we [still played] in these parks.","[so, we] played in parks still. we [stilled played] in the parks. "
"played in these parks. [so, yeah,] we still- that's what i'm saying, like","played in the parks. [so yeah,] we still-that's what i'm explaing, like "
"it was- this is a negative part of it, but","there was-this is a negative part of it, but "
"[you were like (laughing), that was a fun game]","[you laughed a lot, that was a fun game]"
[you know.],right? 
not knowing the real implications of it.,we didn't know the implications of it. 
i remember one time this boy chased us with a freaking drug needle.,i remember this boy once chased us with a freaking drug needle. 
"he picked it up and we- that was when aids was around. we was like, you didn't know about aids much, but it [was like you knew that]","he picked it up and we-that was when aids was a concerns. we didn't know much about aids, but [you knew that]"
"you associated it with drugs too and drug needles, and we was like",it was associated with drugs too and drug needles and we thought 
he's gonna give us aids! and [we used to tell everybody] he's had aids cause he picked up the drug needle!,he's going to give us aids! and [we used to tell everybody] he had aids because he picked up the drug needle! 
but there was drug needles.,but there were drug needles. 
"and, uh. the way we played, uh, we has to- we used to steal","and uh. the way we played, we had to-we used to steal "
we had to clean the gra- we had to clean the [glass off of them.],we had to clean the gra-we to clean the [glass out of the parks.]
"like, we would make like, agreements with them. like, man","we would make agreements with them. like, hey,"
please don't pee in this corner man.,please don't pee in this corner 
cause it's gonna get on the court.,because it's going to get on the court 
it's gonna get on the court man.,it's going to get on the court. 
[<laugh> just over there. just over there.],[<laugh> pee over there. pee over there.]
[and we used to beg them. yeah. just pee],[we used to beg them. just pee]
were attached to families.,had serious families. 
"but, they were like these serious public drug [users.]",they were serious public drug [users]. 
which is oddly enough.,which is odd enough. 
they still like,they still
"[they're] still there, sitting there. everything's changing around them but they're still there.","[they're] still there, hanging around there. everything is changing around them but they are still there. "
"and they call me sheryl swoops. they joke around. so, they be like","and they call me sheryl swoops. they joke around. so, they act like"
"[they're all drunk, and they're like] aye, sheryl swoops.","[they're all drunk and they say] aye, sheryl swoops. "
that- they would look at y- they were looking at me and watching me grow up and.,that-they would look at y-they were watching me and watching me grow up and 
"they still even /and/ make dumb conversation, ask me if i'm- what happened to basketball?",they still make dumb conversation and ask me if i'm-what happened to basketball? 
these are the people that- this was my neighborhood. this is where we played at,these were the people that were in my neighborhood. this is where we played 
so my mother knew that we was in the building.,so my mother knew that we were in the building. 
"um. when we was leaving the building, we had to ring the bell when we left the building, so [my mother] knew that we made it out of the building.","um. when we were leaving the building, we had to ring the bell when we left the building, so [my mother] knew we made it outside of the building. "
this is what she nee- you know.,this is what she nee-you understand. 
w- we had tight codes when,w-we had codes of conduct when 
"and i was like, but he's my family. my mother told me, you do not","and i said, he's my family. my mother told me, you do not"
"<ts> always travel in pairs. like when my sister and i, we used to always",<ts> always travel in pairs. when my sister and i used to 
"um. when we had walkmans, right, you couldn't-","um. when we had walkmans, you couldn't-"
"hold it out like now, and you had to not have it loud","hold it visibly, and you could not have it loud"
because somebody might come up and run up on you.,because somebody might come up and hurt you. 
you kept a quarter. my mother made sure we kept quarters tight on our little bras.,you kept a quarter. my mother made sure we kept quarters tight in our bras. 
there was these things that i had t- [to do.],there were things thatf i had to- [to do.]
[you sort] of knew- [you had like] a set of [rules.],[you kind] of knew- [you had] a set of [rules.]
"[rules.] yeah. when you got down the block, you- you didn't go down the whole block without looking down at least [once.]","[rules.] yeah. when you went down the city block, you-you did not go down the whole city block without look down at least [once.]"
"you know, you was taught that. you walk down the block,","you understand, you were taught that. you walk down the city block, "
"[you look,] you check yourself. check your surroundings every once in a while.","[you look,] you look around yourself. you check your surroundings once in a while. "
these the things that w-,these were the things that w-
we were just raised up with.,we were raised to do. 
there was this,there was a 
"um, he was running away form people shooting at him.","um, he ran away from people shooting at him. "
and we had just finished thro- we had just been- we had literally just throw- we would throw out the garbage,we had just finished thro-we had just-we had literally just throw-we threw out the garbage
while he had just ran away from somebody shooting at him.,while he ran away from somebody shooting at him. 
"and i remember like,",and i remember
"we heard the gunshots, and then i figured we- we- we they was probably, like that was the guy that was","we heard the gunshots, and then i figured we-we-we they were probably, that the guy was"
"when my- cause my sister and i threw out the garbage together, like come on. what kind-","when my-because my sister and i threw out the garbage at the same time, like stop. what kind"
kind of- neighborhood you have [to throw out the garbage together.],kind of-neighborhood is it that you have [to throw out the garbage at the same time.]
[you throw together.],[you throw out the garbage at the same time.]
"we- i remember us like, just knowing what to do.","we-i remember we knew, we knew what to do. "
i remember just knowing like,i remember knowing to 
don't pay him no mind.,ignore him. 
"[but i remember] like, just being like",[but i remember] thinking 
no. we gonna throw out- and her and i literally talked like he wasn't s-,no. we are going to throw out-and we literally talked like he wasn't s-
"<imitates breathing> like breathing all hard, out of breath.",<imitates breathing> like breathing hard and out of breath.
"we were talking, like, yeah the food was good. and we both knew. we didn't even-","we were speaking, saying the food was good. and we both knew. we didn't even-"
"to know like, man, we just keep it moving. don't act like we don't see him, throw the garbage out, act like we don't even know he's there.","to know we just have to keep moving. don't act like we don't see him, throw the garbage out, act like we don't know he's there. "
all the time. they was drugs- dru- drug dealer- i'm talking about huge operations.,all the time. they were drug-dru-drug dealers-they had huge operations. 
we used [to hang],we used to hang out at 
"we used to be in the um, hallway. we used to play a lot in the hallway too. [that was another] safe place.","we used to stay in the um, hallway. we used to play in the hallway too. [that was another] safe place. "
"we would go by the- some people were coming by to get the drugs, you would see like","we would go by the- some people came by to get drugs, you would see "
tons of money on the,a lot of money on the 
"did it ever like touch you? you know, you saw it. but [did it touch you?]",did it ever happen to you? you saw it. but did it happen to you? 
[<ts> i saw it.] no i saw it but,[<ts> i saw it.] i saw it but
"i never touched it. even when i was older, my mother was like","i never touched it. but when i was older, my mother said"
nine o'clock. you gotta be home.,nine o'clock. you have to be home. 
i don't care what none of your friends are doing.,i don't care what any of your friends are doing. 
[nine-o'clock. you gotta.],[nine-o'clock. you have to.]
no- not- no- no- not nine-o-,not nine-o-
one day without the phone.,i was punished with one day without access to the phone. 
"fifteen days without the phone. nine thirty, thirty days without the phone.","fifteen days without access to the phone. nine thirty, thirty days without access to the phone."
"and, if you wanna knock out some days, you have to clean out the cabinets,","and, if you wanted to earn some days back, you had to clean out the cabinets, "
"to knock off some days, but.","to earn some days back, but. "
that just added- that just added fuel to it.,that just added- that just added fuel to the fire.
"<ts> i watched my mother struggle with that, you know, struggle with tryna um,","<ts> i watched my mother struggle with that, you know, struggle with trying to um, "
"so, like, he came home, he came home a couple of times beat up.","so he came home, he came home a couple of times beat up. "
um. jumped.,um. surprise attacked. 
"[they still] together, it was","[they're still] togehter, it was "
